version,account-id,interface-id,srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,start,end,action,log-status
2,607487649814,eni-01372efd5f409b41b,10.99.1.97,10.99.4.24,80,45403,6,3,164,1642051775,1642051785,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.4.24,10.99.1.97,45403,80,6,5,291,1642051775,1642051785,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.1.149,10.99.4.24,80,10840,6,3,164,1642051775,1642051785,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.4.24,10.99.1.149,10840,80,6,5,291,1642051775,1642051785,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.1.97,10.99.4.24,80,46134,6,3,164,1642051775,1642051785,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.4.24,10.99.1.97,46134,80,6,5,291,1642051775,1642051785,ACCEPT,OK
2,607487649814,eni-08f7e684224b548a7,192.241.205.198,10.99.5.76,34128,8087,6,1,40,1642051764,1642051790,ACCEPT,OK
2,607487649814,eni-08f7e684224b548a7,138.199.32.102,10.99.5.76,49183,1433,6,1,40,1642051764,1642051790,ACCEPT,OK
2,unknown,eni-00ddb769db3d572ae,-,-,-,-,-,-,-,1642051755,1642051780,-,NODATA
2,unknown,eni-08f7e684224b548a7,-,-,-,-,-,-,-,1642051752,1642051787,-,NODATA
2,607487649814,eni-08f7e684224b548a7,-,-,-,-,-,-,-,1642051752,1642051783,-,NODATA
2,607487649814,eni-00632af9961efe549,10.99.4.35,52.95.20.99,24743,443,6,19,4608,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,3.134.69.118,12091,443,6,4,286,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,3.134.69.118,36602,443,6,6,351,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,3.142.118.251,57006,443,6,4,208,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.2.13,443,43266,6,2,182,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.2.13,443,43262,6,30,7109,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.253,10.99.4.35,17166,443,6,4,208,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,50.205.244.36,10.99.4.35,123,54098,17,1,76,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.253,10.99.4.35,62397,443,6,16,4457,1642051764,1642051787,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,167.94.145.29,10.99.4.24,32499,431,6,1,44,1642051795,1642051799,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.1.97,10.99.4.24,443,3364,6,3,164,1642051795,1642051799,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.4.24,10.99.1.97,3364,443,6,5,291,1642051795,1642051799,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.1.149,10.99.4.24,80,2394,6,3,164,1642051795,1642051799,ACCEPT,OK
2,607487649814,eni-01372efd5f409b41b,10.99.4.24,10.99.1.149,2394,80,6,5,291,1642051795,1642051799,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,3.134.69.118,10.99.4.35,443,63729,6,30,7115,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.1.253,443,51886,6,1,91,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,3.134.69.118,10.99.4.35,443,9643,6,3,284,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.89,10.99.4.35,58564,443,6,24,1692,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.253,10.99.4.35,51878,443,6,25,6213,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.1.253,443,51878,6,32,7245,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.89,10.99.4.35,6614,443,6,4,286,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,3.134.69.118,10.99.4.35,443,63427,6,60,49782,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,3.134.69.118,63427,443,6,24,1692,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.2.13,443,43270,6,47,33830,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,3.134.69.118,10.99.4.35,443,10268,6,33,7297,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,3.134.69.118,10268,443,6,26,6300,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,3.134.69.118,56155,443,6,4,286,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.1.89,443,58560,6,2,182,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,3.142.118.251,10.99.4.35,443,4258,6,4,336,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.253,10.99.4.35,51888,443,6,24,1692,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.1.253,443,51888,6,60,49782,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.4.35,10.99.1.253,443,62397,6,24,9471,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00632af9961efe549,10.99.1.89,10.99.4.35,58708,443,6,50,2880,1642051763,1642051790,ACCEPT,OK
2,607487649814,eni-00ddb769db3d572ae,192.241.216.152,10.99.6.172,44292,53,6,1,40,1642051767,1642051767,ACCEPT,OK
2,607487649814,eni-00ddb769db3d572ae,192.241.206.197,10.99.6.172,35493,44818,6,1,40,1642051780,1642051785,ACCEPT,OK
2,607487649814,eni-00ddb769db3d572ae,47.96.147.39,10.99.6.172,44634,6379,6,1,60,1642051780,1642051785,ACCEPT,OK
2,607487649814,eni-00ddb769db3d572ae,45.146.166.117,10.99.6.172,49693,29956,6,1,40,1642051752,1642051758,ACCEPT,OK
2,607487649814,eni-00ddb769db3d572ae,167.94.138.87,10.99.6.172,49388,50003,6,1,44,1642051752,1642051758,ACCEPT,OK
